Unnamed: 0,comment_text,comment_party,comment_name,interrupted_speaker_party,interrupted_speaker,date,speech_id,preceding_context,sentiment
433684,Jetzt nicht durcheinanderkommen!,GRÜNE,Dr. Till Steffen,AfD,Dirk Brandes,7/5/2023,194603,"DIE LINKE]: Jeder Cent für die Sozialsysteme ist ein guter Cent! Das gibt nämlich höhere Renten und eine Gesundheitsversorgung, die sich sehen lassen kann!) Liebe CDU, runde Tische und eine Absenkung der Ausbildungsstandards für Berufskraftfahrer reichen nicht aus, um dem Fahrermangel zu begegnen. (",0
238107,Ui!,DIE LINKE,Michael Schlecht,CDU/CSU,Ulrich Lange,6/30/2011,106964,"uwirken. Tun Sie das endlich, (Beifall bei Abgeordneten der CDU/CSU sowie des Abg. Oliver Luksic [FDP]) damit Ihr Wunsch, Stuttgart 21 realisieren zu können, Wirklichkeit werden kann. (Beifall bei Abgeordneten der FDP) Kollege Schlecht, Ihre Rede war eine Rede im Sinne eines besten Krawallbürgers. (",0
381901,Sie haben es nicht verstanden!,FDP,Dr. Marco Buschmann,GRÜNE,Dr. Manuela Rottmann,1/28/2021,173441,"soll das? Sie stärken damit doch nicht den Bundestag, Sie machen aus ihm einen Schlaumeier am Spielfeldrand, der die Strichliste über gewonnene Zweikämpfe in der Ministerpräsidentenkonferenz führen darf. (Beifall beim GRÜNE, bei der CDU/CSU und der SPD – Michael Grosse-Brömer [CDU/CSU]: Sehr gut! – ",1
148254,Wir auch!,FDP,Ulrike Flach,CDU/CSU,Dr. Maria Böhmer,12/2/2004,69450,"len Leuten Sachen! Damit wäre ich vorsichtig!) – Liebe Frau Flach, ich gehe gern darauf ein. Wir haben engsten Kontakt zu den Wissenschaftlern. Sie wissen, dass die CDU/CSU-Bundestagsfraktion einen Beirat für Fragen der Bio- und Gentechnologie mit exzellenten Stammzellwissenschaftlern berufen hat. (",2
61862,"Es ist schon interessant,  was da herauskommt!",SPD,Horst Sielaff,FDP,Günther Bredehorn,6/18/1998,39933,"ilosophie „Mengen runter, Preise rauf"" hat sich als Flop erwiesen. Wir sollten  nicht weiterhin den Eindruck erwecken - das wird  immer noch von allen Seiten gemacht -, daß wir mit  einer Mengenregulierung oder mit dieser Garantiemengenregelung die Herausforderungen der Zukunft bewältigen werden.  (",2
326228,Um Gottes willen!,AfD,<unknown>,CDU/CSU,Dr. Volker Ullrich,2/23/2018,147271,"uropa?) Über die inhaltlichen Themen, meine Damen und Herren, werden wir im Ausschuss diskutieren. Wir müssen darüber sprechen, wie wir die Gemeinsame Außen- und Sicherheitspolitik im mehrjährigen Finanzrahmen mit Mitteln unterlegen können, wie wir die Stellung der Kommissarin weiter stärken können.",1
49575,Unmöglich!,CDU/CSU,Steffen Kampeter,SPD,Doris Odendahl,11/28/1996,32593,"t über das  Thema Gesamtschule diskutieren, sondern über den unglaublichen Vorgang, daß Bürgerinnen und Bürger in Münster versuchen, ihre Schulen zu erhalten,  und einen Bürgerentscheid durchsetzen und daß der  SPD-Innenminister Kniola das mit obrigkeitsstaatlichen Mitteln zu verhindern versucht.  (",1
321230,Von welchen Steuern denn?,SPD,Klaus Mindrup,CDU/CSU,Volkmar Vogel,5/19/2017,144572,"über den sie verfügen können. (Christian Kühn [Tübingen] [GRÜNE]: Das debattieren wir noch mal!) Da sind es vor allen Dingen die Familien, die Schwellenhaushalte, die es schwer haben, zu Wohnungseigentum zu kommen. Denen müssen wir helfen, zum Beispiel durch steuerliche Abschreibungsmöglichkeiten. (",0
103108,Und das soll Klimaschutz sein?,GRÜNE,Hans-Josef Fell,GRÜNE,Michaele Hustedt,12/13/2001,55591,"Gas importieren müssen. Aber wenn man die Kohlestrategie wählt, dann muss Deutschland nach der Prognos-Berechnung absolut gesehen – nicht relativ, weil man auf Kohle setzt; aber die absolute Zahl ist entscheidend dafür, wie abhängig man ist – mehr Gas importieren als bei der Klimaschutzstrategie.  (",1
350482,Ihr habt doch bei 800 schon dagegengestimmt!,CDU/CSU,Hans Michelbach,GRÜNE,Dr. Danyal Bayaz,5/10/2019,158340, enormer Tragweite. Die Wahrheit ist: Die Anhebung der GWG-Grenze um 200 Euro – von 800 auf 1 000 Euro – ist nahezu unstrittig. Die Bedeutung für den Bundeshaushalt ist marginal. Wir reden hier über einen Zinseffekt. (Lothar Binding [Heidelberg] [SPD]: 100 Prozent Anhebung ist auch was! – Dr. h. c. ,0
422172,Die größte Unwahrheit ist das!,CDU/CSU,Thorsten Frei,GRÜNE,Katharina Dröge,3/16/2023,190884," in der Europäischen Union. (Dorothee Bär [CDU/CSU]: Ihr seid dagegen!) Sie sind auch gegen Windenergieausbau in Bayern. (Zuruf des Abg. Christian Dürr [FDP]) Sie sind eigentlich gegen alles, was Klimaschutz in diesem Land bringt. (Beifall beim GRÜNE und bei der FDP sowie bei Abgeordneten der SPD – ",1
425447,Das glaube ich!,DIE LINKE,Jan Korte,GRÜNE,von Notz,4/20/2023,191865,"erer Ausführung verliehen und sie damit für ihre persönlichen Leistungen geehrt. Ich möchte diesen TOP der AfD auch dafür nutzen, um hier in aller Klarheit zu sagen: Wir gratulieren Frau Merkel ganz herzlich zu dieser schönen Auszeichnung. (Beifall beim GRÜNE, bei der SPD, der CDU/CSU und der FDP – ",0
71876,Das ist wahr!,SPD,<unknown>,FDP,Klaus Haupt,10/1/1999,44563," wir, daß die Bundesregierung einen neuen Anlauf unternimmt, diese fast unendliche Geschichte zu einem Abschluß zu bringen. Irmingard Schewe-Gerigk Seit Mitte der 80er Jahre wird versucht, zu einem Altenpflegegesetz zu kommen. Zuletzt waren die Bemühungen an der Blockadehaltung Bayerns gescheitert. ",2
116847,In den Irak gehen wir doch gerade nicht rein!,SPD,Rudolf Bindig,CDU/CSU,Dr. Gerd Müller,12/4/2002,59417,"die Sie nicht beantwortet haben: Gibt es eine Exit-Strategie? Wie sollen im Ernstfall 2 000 bis 5 000 Mann herausgeholt werden? Wo ist das Gesamtkonzept für Afghanistan? Herr Bundesaußenminister, Sie lassen sich feiern. Ihre Devise lautet: Wir gehen überall rein: Mazedonien,  Bosnien, Afghanistan. (",0
176214,Wir haben eine andere Auffassung von Kontrolle als Sie! Das ist richtig!,CDU/CSU,Leo Dautzenberg,DIE LINKE,Dr. Barbara Höll,3/23/2007,80453," nicht praktikabel.  (Leo Dautzenberg [CDU/CSU]: Die Abstimmung  mit den Ländern ist doch jetzt geklärt!) Ein Problem ist schon, dass der Anteilseigner von sich aus seine Dividenden angeben muss. Wenn er das nicht tut, dann tut er das nicht. Wer das alles kontrollieren soll, ist völlig ungeklärt.  (",2
16563,Jetzt nennen Sie die  einmal!,SPD,Horst Sielaff,CDU/CSU,Siegfried Hornung,12/9/1992,9755,"häden des vergangenen Jahres  bzw. des Jahres 1990 den Zustand des Waldes verschlechtert und auch emissionsbedingte Schäden  stärker zutage treten lassen.  Konsequenzen aus dieser Tatsache sind ein ganzes  Bündel von kurz- und langfristigen Maßnahmen, die  sowohl im Bereich der Ursachenbekämpfung  (",0
162281,Weiter so!,FDP,Dr. Heinrich L. Kolb,CDU/CSU,Peter Weiß,3/9/2006,74247,"iträge der Geschichte zahlen müssen und dafür relativ wenig herausbekommen. (Dirk Niebel [FDP]: Stimmt doch, oder?) Solche Reden kann man halten. Der Punkt ist nur: Damit wird kein einziges rentenpolitisches Problem gelöst. (Dirk Niebel [FDP]: Aber es ist wahr, oder?) Unser Kurs ist und muss sein, (",2
439959,Wieso?,CDU/CSU,Moritz Oppelt,GRÜNE,Lamya Kaddor,9/29/2023,196433,"darauf, uns im öffentlichen Raum sicher fühlen zu dürfen. Dieses Recht wird auch durch Organisierte Kriminalität infrage gestellt. Darauf braucht es eindeutige Antworten. (Beifall bei Abgeordneten des GRÜNE) Ihr Antrag hat gute Ansatzpunkte. Allerdings macht er es sich an vielen Stellen zu leicht. (",0
73125,Das kann ja wohl nicht sein!,CDU/CSU,Erwin Marschewski,GRÜNE,Marieluise Beck,11/4/1999,45076," (Zuruf von der CDU/CSU: Das ist vom Gesetz auch gewollt!) Aus dem Fehlen einer sachlichen Rechtfertigung für diese Sonderbehandlung dürfte sich eine verfassungsrechtliche Diskriminierung ergeben. Es sei denn, dieses Modell sollte Vorreiter für eine entsprechende Kontrolle auch von Inländern sein. (",1
185946,Vollkommen richtig!,SPD,Gabriele Groneberg,CDU/CSU,Sibylle Pfeiffer,1/17/2008,85161,"Unterausschuss zur Gesundheit in Entwicklungsländern gekämpft haben.  (Dr. Karl Addicks [FDP]: Ich habe es ja gesagt!) Aber um der Wahrheit die Ehre zu geben: Mir erschließt sich überhaupt nicht, warum du das jetzt in diesem konkreten Zusammenhang vorbringst.  (Beifall bei der CDU/CSU und der SPD – ",2
438342,Schon mal was von Demokratie gehört?,GRÜNE,Henrike Michaelsen,AfD,Dr. Dirk Spaniel,9/21/2023,195830,"kraummangel besteht, den Verkehr beschränken. Das muss man sich mal vorstellen, was Sie als FDP hier abziehen oder sich in die Feder diktieren lassen. Das geht doch alles gar nicht; das wissen Sie auch. Was hier passiert: Irgendwelche Bürgermeister – das sehen wir auch gerade in Hannover – (Swantje ",1
299147,"Wollen Sie die erschießen, oder was? Oder erschießen lassen?",DIE LINKE,Sevim Dağdelen,CDU/CSU,Dr. Hans-Peter Uhl,10/14/2015,134347,"ten zehn Jahre nichts wissen!) Die griechische Insel Kos liegt in Sichtweite der türkischen Küste. 1 bis 2 Millionen Menschen warten an der türkischen Mittelmeerküste darauf, auf die griechischen Inseln überzusetzen, um von dort aus über Mazedonien im Wesentlichen nach Deutschland weiterzuwandern. (",0
411180,Dann wäre es nicht Gesetz geworden! Ist ja nicht logisch!,CDU/CSU,Jens Spahn,SPD,Michael Müller,11/10/2022,187324,"brauchen an dieser Stelle von der Union keinen Nachhilfeunterricht. Das Lieferkettengesetz, das genau das Thema der Menschenrechte in den Blick nimmt, ist gegen die Blockade der Union durchgesetzt worden. (Beifall bei der SPD und dem GRÜNE – Dr. Johann David Wadephul [CDU/CSU]: Stimmt doch nicht! – ",0
157891,Das finden Sie doch auch  falsch!,FDP,Dirk Niebel,GRÜNE,Dr. Thea Dückert,6/17/2005,72474,"r dazu führt, dass diese Frühverrentungspraxis zum Beispiel durch Verkürzung der Bezugsdauer des Arbeitslosengeldes unattraktiver wird.  (Dirk Niebel [FDP]: Warum kehren Sie dann  jetzt um?) Die Übergangsfrist, bis die Regelungen dieses Gesetzes in Kraft treten, wird nun um zwei Jahre verlängert.  (",0
364217,Die Blechtrommel!,CDU/CSU,Michael Grosse-Brömer,CDU/CSU,Dr. Georg Nüßlein,1/17/2020,164051,"Herr Kollege! – Zuruf von der AfD: Sachlich geht es auch!) Man kann natürlich bei der Gelegenheit die gleiche Melodie spielen, die wir hier übrigens auch spielen, was schon mal gar nicht schlecht ist. Blöd ist, wenn man zeitversetzt spielt, also ein bisschen hinterher. Das kommt nicht ganz so gut. (",0
220443,Wir hatten einen besseren!,GRÜNE,Brigitte Pothmer,DIE LINKE,Sabine Zimmermann,7/8/2010,100321,"Kramme hat auch schon einige Hinweise dazu gegeben. Zweitens. Die Regierung will die Regelung zur freiwilligen Arbeitslosenversicherung für Selbstständige verlängern. Dazu muss man natürlich sagen, dass die Linken und die Grünen schon im März einen Gesetzentwurf bzw. Antrag dazu eingebracht haben. (",0
138797,So ist es!,SPD,<unknown>,SPD,Karin Evers-Meyer,4/29/2004,66353,"htung der Sicherheitsbehörden auf die neue Bedrohungslage. Die Bundeswehr wird da, wo es notwendig und sinnvoll ist, ihren Beitrag auch für die Sicherheit im Innern leisten. Die Transformation der Bundeswehr zu einer international einsetzbaren Eingreiftruppe steht diesem Ziel gewiss nicht entgegen. ",2
13938,Wir kennen ihn!,FDP,Jürgen Koppelin,SPD,Horst Kubatschka,10/7/1992,8068,"Frau Kollegin, woher  nehmen Sie die Meinung, daß der Herr Kollege  Dreßler das anders bewertet hätte, wenn die Anzeige  in Gewerkschaftszeitungen erschienen wäre?  (",0
276696,So sind wir!,CDU/CSU,Dr. Günter Krings,CDU/CSU,Peter Beyer,11/18/2013,123468,"Frau Präsidentin! Meine sehr geehrten Damen und Herren! Liebe Kolleginnen und Kollegen! Lassen Sie mich vorab meine Freude zum Ausdruck bringen, dass auch ich als Außenpolitiker in dieser sehr innenpolitisch ausgerichteten Debatte zu Wort kommen darf.  (",0
394211,Sie haben es nicht verstanden!,AfD,<unknown>,FDP,Sandra Bubendorfer-Licht,3/18/2022,181251,"n Mahnung und Warnung sein. (Beifall bei der FDP und dem GRÜNE sowie bei Abgeordneten der SPD) Werte AfD, wenn Sie Haltung hätten, würde es Ihnen um die fachliche Aufarbeitung der Katastrophe sowie um die notwendigen Maßnahmen zur besseren Aufklärung und zur Stärkung des Katastrophenschutzes gehen. ",1
344434,Weil sie gegen das Gesetz verstoßen! Verstoß gegen das Gesetz!,AfD,Armin-Paulus Hampel,GRÜNE,Filiz Polat,2/14/2019,155586," sich aus gutem Grund gegen eine Abschiebung – zum Beispiel nach Afghanistan – engagieren, (Armin-Paulus Hampel [AfD]: Alles ungesetzlich!) drohen Sie jetzt – Frau Kollegin Jelpke hat es gesagt – mit einer Gefängnishaft von bis zu drei Jahren. Das kann nicht Ihr Ernst sein, meine Damen und Herren. (",0
126285,Manche Städte  sind auch zehnmal so groß wie andere!,CDU/CSU,Günter Nooke,GRÜNE,Ursula Sowa,7/3/2003,62434,"suchen. Die Medien lieben es, immer wieder Schreckensnachrichten im Kulturbereich zu verbreiten. In letzter Zeit ist es Usus, über die drohende Schließung von Häusern zu berichten, angefangen von Stadtteilbibliotheken bis hin zur Oper. In manchen Städten sind sogar drei Opern gleichzeitig bedroht. (",0
280611,Kommen Sie einmal nach Koblenz! Ich zeige Ihnen einen!,DIE LINKE,Alexander Ulrich,CDU/CSU,Dr. Michael Fuchs,4/10/2014,125561,"haben die niedrigste Jugendarbeitslosigkeit aller europäischen Länder.  (Alexander Ulrich [DIE LINKE]: Niedriglohn! Prekäre Beschäftigung!)  Daran kann man noch arbeiten, man kann es immer noch verbessern. In meinem Wahlkreis gibt es de facto keinen einzigen Jugendlichen mehr, der ausbildbar ist.  (",0
379540,"Es wäre schön, wenn der Wirtschaftsminister zuhören würde!",FDP,Otto Fricke,CDU/CSU,Hans Michelbach,12/8/2020,172175,chrank. Wir brauchen erfolgreiche chirurgische Eingriffe für die Sicherung von Unternehmen und der Arbeitsplätze. Das ist mit der Ordnungspolitik der sozialen Marktwirtschaft am besten zu erreichen. (Carsten Schneider [Erfurt] [SPD]: Deswegen nimmst du mit der Verlustverrechnung die Schrotflinte! – ,1
296980,So ein Quatsch!,CDU/CSU,Dr. Thomas Feist,GRÜNE,Özcan Mutlu,7/3/2015,133352,"emile Giousouf [CDU/CSU]: Das sind europäische Mittel! Das können sie auch machen! – Dr. Thomas Feist [CDU/CSU]: Das kann jedes Bundesland machen!)  Ich frage einfach: Warum nicht daraus lernen und es flächendeckend einführen? Nein, der Bund prüft und prüft und prüft und lässt die Länder alleine.  (",1
323811,Unglaublich!,DIE LINKE,Dr. Gesine Lötzsch,DIE LINKE,De Masi,11/21/2017,145839,"ht bei drei auf dem Baum war. Alle Fraktionen im Bundestag – außer der Linken – stimmten dem irischen Programm zu. Meine Fraktion verwies bereits damals auf die niedrige irische Körperschaftsteuer. Irland ermöglichte es Apple, im Jahr 2014 nur 0,005 Prozent Steuern auf seine Gewinne zu entrichten. (",1
106335,Deswegen wird es jetzt auch wieder besser!,CDU/CSU,Karl-Josef Laumann,SPD,Klaus Brandner,2/28/2002,56495,"s dann ganz schnell abgebrochen, weil Sie eine Kurswende vollzogen haben. Sie haben die ausgestreckte Hand der Gewerkschaften ausgeschlagen und Ihre Hand nicht für sinnvolle Veränderungen in der Gesellschaft gereicht. Das ist Ihnen beim Wahlergebnis teuer zu stehen gekommen.  (Beifall bei der SPD – ",0
